"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"882","L11_30","12/7/20","3D6.1D59592905",116,17.2,1216,NA,9,"EC","jeff","3D6.1D59592905","4/22/21",201,89.8,"Smolt",3,9,"JA","3D6.1D59592905",1,"5/14/21",35,197,0
"884","L11_46","12/7/20","3D6.1D5958A112",122,22.3,1218,NA,9,"EC","jeff","3D6.1D5958A112","4/22/21",196,83.7,"Parr",1,9,"JA",NA,0,NA,NA,NA,NA
"885","L11_62","12/7/20","3D6.1D5958B386",106,13.3,1220,NA,9,"EC","jeff","3D6.1D5958B386","4/22/21",167,53,"Parr",1,9,"AM",NA,0,NA,NA,NA,NA
"890","L11_15","12/7/20","3D6.1D5959246C",132,26.2,1226,NA,9,"EC","jeff","3D6.1D5959246C","4/22/21",206,108,"Smolt",3,9,"JA",NA,0,NA,NA,NA,NA
"892","L11_39","12/7/20","3D6.1D59590AD9",128,22,1229,NA,9,"EC","jeff","3D6.1D59590AD9","4/22/21",202,96.6,"Smolt",3,9,"AM",NA,0,NA,NA,NA,NA
"895","L11_63","12/7/20","3D6.1D59587B0F",137,28.5,1232,NA,9,"EC","jeff","3D6.1D59587B0F","4/22/21",220,121.7,"Smolt",3,9,"JA","3D6.1D59587B0F",1,"5/13/21",35,221,0
"898","L11_87","12/7/20","3D6.1D59586901",130,23.2,1235,NA,9,"EC","jeff","3D6.1D59586901","4/22/21",204,93.9,"Smolt",3,9,"JA","3D6.1D59586901",1,"5/13/21",35,201,0
"904","L11_40","12/7/20","3D6.1D5958A745",125,21.2,1241,NA,9,"EC","jeff","3D6.1D5958A745","4/22/21",212,101.4,"Smolt",3,9,"JA","3D6.1D5958A745",1,"5/10/21",35,203,0
"911","L11_96","12/7/20","3D6.1D59585F0A",120,15.6,1248,NA,9,"EC","jeff","3D6.1D59585F0A","4/22/21",201,95.5,"Smolt",3,9,"JA","3D6.1D59585F0A",1,"5/10/21",34,131,0
"914","L12_17","12/7/20","3D6.1D5958AC4E",151,32.9,1251,NA,9,"EC","jeff","3D6.1D5958AC4E","4/22/21",235,130.9,"Smolt",3,9,"AM",NA,0,NA,NA,NA,NA
"916","L12_33","12/7/20","3D6.1D5959210E",133,24.1,1253,NA,9,"EC","jeff","3D6.1D5959210E","4/22/21",216,104.7,"Smolt",3,9,"JA","3D6.1D5959210E",1,"5/7/21",35,211,0
"918","L12_49","12/7/20","3D6.1D594D8207",128,22.6,1255,NA,9,"EC","jeff","3D6.1D594D8207","4/22/21",215,106.9,"Smolt",3,9,"JA",NA,0,NA,NA,NA,NA
"921","L12_73","12/7/20","3D6.1D59591732",119,18.3,1258,NA,9,"EC","jeff","3D6.1D59591732","4/22/21",200,135.5,"Smolt",3,9,"AM",NA,0,NA,NA,NA,NA
"930","L12_50","12/7/20","3D6.1D59585857",128,21.7,1267,NA,9,"EC","jeff","3D6.1D59585857","4/22/21",212,99.2,"Smolt",3,9,"JA","3D6.1D59585857",1,"5/10/21",35,211,0
"934","L12_82","12/7/20","3D6.1D59591581",120,17.5,1271,NA,9,"EC","jeff","3D6.1D59591581","4/22/21",175,61.9,"Parr",1,9,"JA",NA,0,NA,NA,NA,NA
"937","L12_11","12/7/20","3D6.1D59591C01",101,10.8,1274,NA,9,"EC","jeff","3D6.1D59591C01","4/22/21",161,43.4,"Parr",1,9,"AM","3D6.1D59591C01",1,"5/4/21",34,159,1
"939","L12_27","12/7/20","3D6.1D59585F80",106,11.1,1276,NA,9,"EC","jeff","3D6.1D59585F80","4/22/21",169,54.5,"Parr",1,9,"AM",NA,0,NA,NA,NA,NA
"940","L12_35","12/7/20","3D6.1D5958B6CC",103,12.3,1277,NA,9,"EC","jeff","3D6.1D5958B6CC","4/22/21",169,55.8,"Parr",1,9,"AM",NA,0,NA,NA,NA,NA
"942","L12_51","12/7/20","3D6.1D5958B05C",131,23.4,1279,NA,9,"EC","jeff","3D6.1D5958B05C","4/22/21",213,112.6,"Smolt",3,9,"AM","3D6.1D5958B05C",1,"5/12/21",34,211,0
"945","L12_75","12/7/20","3D6.1D595898C9",130,24.6,1282,NA,9,"EC","jeff","3D6.1D595898C9","4/22/21",196,92.6,"Smolt",3,9,"JA","3D6.1D595898C9",1,"5/8/21",34,192,0
"949","L12_12","12/7/20","3D6.1D595876D4",117,18.7,1286,NA,9,"EC","jeff","3D6.1D595876D4","4/22/21",207,103.6,"Smolt",3,9,"AM",NA,0,NA,NA,NA,NA
"956","L12_68","12/7/20","3D6.1D5958A940",109,14.1,1293,NA,9,"EC","jeff","3D6.1D5958A940","4/22/21",178,64.6,"Smolt",3,9,"JA",NA,0,NA,NA,NA,NA
"958","L12_84","12/7/20","3D6.1D5958A59C",84,5.6,1295,NA,9,"EC","jeff","3D6.1D5958A59C","4/22/21",99,11.8,"Parr",1,9,"JA","3D6.1D5958A59C",1,"5/4/21",34,93,1
"961","L12_13","12/7/20","3D6.1D59592356",139,29.7,1298,NA,9,"EC","jeff","3D6.1D59592356","4/22/21",220,126.1,"Smolt",3,9,"JA",NA,0,NA,NA,NA,NA
"967","L12_61","12/7/20","3D6.1D595899F1",148,34.9,1304,NA,9,"EC","jeff","3D6.1D595899F1","4/22/21",224,124,"Smolt",3,9,"JA","3D6.1D595899F1",1,"5/7/21",35,223,0
"974","L12_22","12/7/20","3D6.1D5958A8C3",98,11.6,1311,NA,9,"EC","jeff","3D6.1D5958A8C3","4/22/21",139,28.6,"Parr",1,9,"AM","3D6.1D5958A8C3",1,"5/5/21",35,139,1
"976","L12_38","12/7/20","3D6.1D595911C2",80,6.2,1313,NA,9,"EC","jeff","3D6.1D595911C2","4/22/21",141,31.6,"Parr",1,9,"AM","3D6.1D595911C2",1,"5/4/21",35,144,1
"977","L12_46","12/8/20","3D6.1D59538E50",119,18,1314,NA,8,"EC","jeff","3D6.1D59538E50","4/22/21",199,86.4,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
"984","L12_23","12/8/20","3D6.1D59591A6D",89,6.1,1323,NA,8,"EC","jeff","3D6.1D59591A6D","4/22/21",126,22.9,"Parr",1,8,"AM","3D6.1D59591A6D",1,"5/5/21",35,133,1
"986","L12_47","12/8/20","3D6.1D59587328",133,24,1326,NA,8,"EC","jeff","3D6.1D59587328","4/22/21",190,73.8,"Smolt",3,8,"AM","3D6.1D59587328",1,"5/6/21",34,187,0
"990","L12_79","12/8/20","3D6.1D59590DC9",131,22.1,1330,NA,8,"EC","jeff","3D6.1D59590DC9","4/22/21",203,92.1,"Smolt",3,8,"AM",NA,0,NA,NA,NA,NA
"992","L12_8","12/8/20","3D6.1D5958A102",92,7.9,1333,NA,8,"EC","jeff","3D6.1D5958A102","4/22/21",150,38.4,"Parr",1,8,"JA","3D6.1D5958A102",1,"5/7/21",34,153,0
"996","L12_40","12/8/20","3D6.1D59590C18",134,25.4,1337,NA,8,"EC","jeff","3D6.1D59590C18","4/22/21",209,100.3,"Smolt",3,8,"AM",NA,0,NA,NA,NA,NA
"1000","L12_72","12/8/20","3D6.1D59592609",114,17.2,1341,NA,8,"EC","jeff","3D6.1D59592609","4/22/21",176,62.7,"Parr",1,8,"AM","3D6.1D59592609",1,"5/10/21",34,173,0
"1005","L13_9","12/8/20","3D6.1D5958914B",112,22.1,1346,NA,8,"EC","jeff","3D6.1D5958914B","4/22/21",201,79.3,"Smolt",3,8,"JA","3D6.1D5958914B",1,"5/6/21",35,192,0
"1007","L13_25","12/8/20","3D6.1D594D78CF",111,13.8,1348,NA,8,"EC","jeff","3D6.1D594D78CF","4/22/21",168,53.5,"Parr",1,8,"AM",NA,0,NA,NA,NA,NA
"1009","L13_41","12/8/20","3D6.1D59586B8A",94,8.9,1350,NA,8,"EC","jeff","3D6.1D59586B8A","4/22/21",152,41.5,"Parr",1,8,"AM",NA,0,NA,NA,NA,NA
"1010","L13_49","12/8/20","3D6.1D595916B6",121,19.8,1351,NA,8,"EC","jeff","3D6.1D595916B6","4/22/21",183,65.2,"Parr",1,8,"AM",NA,0,NA,NA,NA,NA
"1012","L13_65","12/8/20","3D6.1D59590001",128,23.1,1353,NA,8,"EC","jeff","3D6.1D59590001","4/22/21",218,116.4,"Smolt",3,8,"JA","3D6.1D59590001",1,"5/12/21",34,208,0
"1019","L13_34","12/8/20","3D6.1D59538D8B",116,17.1,1361,NA,8,"EC","jeff","3D6.1D59538D8B","4/22/21",183,72.6,"Smolt",3,8,"AM",NA,0,NA,NA,NA,NA
"1025","L13_82","12/8/20","3D6.1D594D7ABC",118,18.4,1367,NA,8,"EC","jeff","3D6.1D594D7ABC","4/22/21",190,80.9,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
"1026","L13_90","12/8/20","3D6.1D59592D82",109,13.7,1368,NA,8,"EC","jeff","3D6.1D59592D82","4/22/21",164,46.4,"Parr",1,8,"JA","3D6.1D59592D82",1,"5/5/21",34,161,1
"1029","L13_19","12/8/20","3D6.1D5958634F",133,24.5,1371,NA,8,"EC","jeff","3D6.1D5958634F","4/22/21",190,74.1,"Parr",1,8,"AM",NA,0,NA,NA,NA,NA
"1030","L13_27","12/8/20","3D6.1D595915BA",97,10.3,1372,NA,8,"EC","jeff","3D6.1D595915BA","4/22/21",153,43,"Parr",1,8,"JA","3D6.1D595915BA",1,"5/6/21",34,151,0
"1031","L13_35","12/8/20","3D6.1D5959137E",120,18.7,1373,NA,8,"EC","jeff","3D6.1D5959137E","4/22/21",188,77.7,"Parr",1,8,"AM",NA,0,NA,NA,NA,NA
"1033","L13_51","12/8/20","3D6.1D5959151E",135,27.5,1375,NA,8,"EC","jeff","3D6.1D5959151E","4/22/21",222,125.2,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
