Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-08T00:00:00Z,3D6.1D5959240B,90,7.7,1603,NA,7,LC,jeff,3D6.1D5959240B,2021-04-20T00:00:00Z,170,50.6,Parr,1,7,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D74EE,83,6.5,468,NA,3,LC,chris,3D6.1D594D74EE,2021-04-21T00:00:00Z,156,43.6,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5953928E,96,9.4,1505,NA,3,LC,jeff,3D6.1D5953928E,2021-04-21T00:00:00Z,182,64,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595910E7,79,5.3,491,NA,7,LC,chris,3D6.1D595910E7,2021-04-20T00:00:00Z,134,27.1,Parr,1,7,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5958AEAB,95,10,1527,NA,3,LC,jeff,3D6.1D5958AEAB,2021-04-21T00:00:00Z,136,27.3,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59591D25,90,8.6,372,NA,3,LC,chris,3D6.1D59591D25,2021-04-21T00:00:00Z,156,40.3,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59538730,98,11,1506,NA,3,LC,jeff,3D6.1D59538730,2021-04-21T00:00:00Z,169,53.4,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59591475,98,9.9,405,NA,3,LC,chris,3D6.1D59591475,2021-04-21T00:00:00Z,181,63,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59591405,100,5.7,1482,NA,3,LC,jeff,3D6.1D59591405,2021-04-21T00:00:00Z,145,33.8,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D8F81,90,8,444,NA,3,LC,chris,3D6.1D594D8F81,2021-04-21T00:00:00Z,142,54.4,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595923BC,92,8.7,1466,NA,3,LC,jeff,3D6.1D595923BC,2021-04-21T00:00:00Z,154,40.4,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D87DC,94,9.2,451,NA,3,LC,chris,3D6.1D594D87DC,2021-04-21T00:00:00Z,162,49.8,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59588493,78,5.6,380,NA,3,LC,chris,3D6.1D59588493,2021-04-21T00:00:00Z,168,52.3,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59538731,80,5.8,497,NA,7,LC,chris,3D6.1D59538731,2021-04-20T00:00:00Z,124,21.3,Parr,1,7,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595919A4,98,10.4,420,NA,3,LC,chris,3D6.1D595919A4,2021-04-21T00:00:00Z,176,55.7,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5958AFBB,81,5.3,432,NA,3,LC,chris,3D6.1D5958AFBB,2021-04-21T00:00:00Z,156,36.9,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595918A1,74,5.1,1478,NA,3,LC,jeff,3D6.1D595918A1,2021-04-21T00:00:00Z,111,16.1,Parr,1,3,JA,3D6.1D595918A1,1,2021-05-04T00:00:00Z,34,106,1
2020-12-08T00:00:00Z,3D6.1D59588BAC,87,7.4,504,NA,7,LC,chris,3D6.1D59588BAC,2021-04-20T00:00:00Z,156,41.8,Parr,1,7,AM,3D6.1D59588BAC,1,2021-05-04T00:00:00Z,35,154,1
2020-12-08T00:00:00Z,3D6.1D594D840C,72,3.8,523,NA,7,LC,chris,3D6.1D594D840C,2021-04-20T00:00:00Z,90,9.2,Parr,1,7,JA,3D6.1D594D840C,1,2021-05-04T00:00:00Z,34,89,1
2020-12-08T00:00:00Z,3D6.1D594D8041,93,9.2,455,NA,3,LC,chris,3D6.1D594D8041,2021-04-21T00:00:00Z,170,53.4,Parr,1,3,JA,3D6.1D594D8041,1,2021-05-14T00:00:00Z,35,170,0
2020-12-08T00:00:00Z,3D6.1D59586307,95,11.3,552,NA,7,LC,chris,3D6.1D59586307,2021-04-20T00:00:00Z,163,54.9,Parr,1,7,AM,3D6.1D59586307,1,2021-05-06T00:00:00Z,34,161,0
2020-12-08T00:00:00Z,3D6.1D59592780,90,8.1,1532,NA,7,LC,jeff,3D6.1D59592780,2021-04-20T00:00:00Z,161,44.7,Parr,1,7,AM,3D6.1D59592780,1,2021-05-06T00:00:00Z,34,158,0
2020-12-08T00:00:00Z,3D6.1D595928A6,87,7.6,1611,NA,7,LC,jeff,3D6.1D595928A6,2021-04-20T00:00:00Z,169,55.6,Parr,1,7,AM,3D6.1D595928A6,1,2021-05-06T00:00:00Z,35,169,0
2020-12-08T00:00:00Z,3D6.1D59588763,85,7.3,1615,NA,7,LC,jeff,3D6.1D59588763,2021-04-20T00:00:00Z,121,20,Parr,1,7,AM,3D6.1D59588763,1,2021-05-05T00:00:00Z,34,124,1
2020-12-08T00:00:00Z,3D6.1D59592849,86,7.3,1479,NA,3,LC,jeff,3D6.1D59592849,2021-04-21T00:00:00Z,145,33.9,Parr,1,3,JA,3D6.1D59592849,1,2021-05-06T00:00:00Z,34,150,0
2020-12-08T00:00:00Z,3D6.1D59586C1E,75,4.8,1574,NA,7,LC,jeff,3D6.1D59586C1E,2021-04-20T00:00:00Z,121,18.8,Parr,1,7,AM,3D6.1D59586C1E,1,2021-05-06T00:00:00Z,34,124,0
2020-12-08T00:00:00Z,3D6.1D59585A06,77,4.7,1538,NA,7,LC,jeff,3D6.1D59585A06,2021-04-20T00:00:00Z,145,32.5,Parr,1,7,JA,3D6.1D59585A06,1,2021-05-08T00:00:00Z,34,150,0
2020-12-08T00:00:00Z,3D6.1D5958A88F,81,5.8,1586,NA,7,LC,jeff,3D6.1D5958A88F,2021-04-20T00:00:00Z,135,26.3,Parr,1,7,AM,3D6.1D5958A88F,1,2021-05-08T00:00:00Z,35,140,0
2020-12-08T00:00:00Z,3D6.1D5958A4FA,82,6.1,563,NA,7,LC,chris,3D6.1D5958A4FA,2021-04-20T00:00:00Z,129,25.2,Parr,1,7,JA,3D6.1D5958A4FA,1,2021-05-05T00:00:00Z,34,129,1
